rank,op_name,mean_mse,mean_cos
81,/base/transformer/layer.3/attention/Constant_8_output_0,0.00082533406050585,0.9994686722991213
82,/base/transformer/layer.1/attention/k_lin/Add_output_0,0.000825335895416003,0.9994686708991797
83,/base/transformer/layer.2/Add_output_0,0.0008253417532393354,0.9994686676735509
84,/base/transformer/layer.2/attention/q_lin/Add_output_0,0.000825350585295926,0.9994686613945517
85,/base/transformer/layer.1/attention/q_lin/Add_output_0,0.000825363832394461,0.9994686539849162
86,/base/transformer/layer.0/attention/MatMul_1_output_0,0.0008253676853236288,0.9994686520333811
87,/base/transformer/layer.1/sa_layer_norm/LayerNormalization_output_0,0.0008253783012892174,0.9994686441383145
88,/base/transformer/layer.1/ffn/activation/Mul_output_0,0.0008253795540145721,0.9994686431033751
89,base.transformer.layer.2.sa_layer_norm.weight,0.0008253969155101458,0.9994686243515829
90,/base/transformer/layer.0/ffn/activation/Mul_1_output_0,0.0008253977446104164,0.9994686311054767
91,/base/transformer/layer.0/ffn/lin1/Add_output_0,0.0008254060530213812,0.9994686276321745
92,/base/transformer/layer.3/sa_layer_norm/LayerNormalization_output_0,0.000825407487268756,0.999468625429496
93,/base/transformer/layer.2/ffn/activation/Add_output_0,0.0008254077709111897,0.9994686245846104
94,/base/transformer/layer.2/sa_layer_norm/LayerNormalization_output_0,0.0008254237112196143,0.9994686154378977
95,/base/transformer/layer.1/attention/Softmax_output_0,0.0008254251485044906,0.999468613549574
96,/base/transformer/layer.0/output_layer_norm/LayerNormalization_output_0,0.0008254262521480338,0.9994686131145701
97,/base/transformer/layer.1/ffn/activation/Mul_1_output_0,0.0008254288768453664,0.9994686109507953
98,/base/transformer/layer.2/Add_1_output_0,0.0008254355138645969,0.999468606601339
99,/base/transformer/layer.0/attention/Constant_8_output_0,0.0008254442615268875,0.999468601693347
100,/base/transformer/layer.3/attention/v_lin/Add_output_0,0.0008254449609191291,0.9994686009582044
101,/base/transformer/layer.1/attention/MatMul_output_0,0.0008254561430059931,0.9994685940464393
102,/base/transformer/layer.2/ffn/activation/Mul_output_0,0.0008254688843738695,0.999468585412211
103,/base/transformer/layer.1/attention/Constant_8_output_0,0.0008254781303646525,0.9994685800303605
104,/base/transformer/layer.2/ffn/activation/Constant_1_output_0,0.0008254878275462869,0.9994685731853731
105,/base/transformer/layer.2/ffn/activation/Mul_1_output_0,0.0008255048214843069,0.9994685620663768
106,/base/transformer/layer.4/Add_output_0,0.0008255060676679174,0.999468561348432
107,/base/transformer/layer.4/attention/Constant_8_output_0,0.0008255216987838305,0.9994685516822586
108,/base/transformer/layer.2/ffn/lin1/Add_output_0,0.0008255257233807889,0.9994685489063316
109,/base/transformer/layer.3/attention/MatMul_output_0,0.0008255296041549357,0.9994685459303219
110,/base/transformer/layer.3/ffn/lin1/Add_output_0,0.0008255367003858651,0.9994685415285609
111,/base/transformer/layer.4/Add_1_output_0,0.0008255383528729278,0.9994685403560492
112,/base/transformer/layer.0/attention/MatMul_output_0,0.0008255400955170702,0.9994685390013998
113,/base/transformer/layer.2/ffn/activation/Div_output_0,0.0008255475418303438,0.9994685345540336
114,/base/transformer/layer.3/attention/q_lin/Add_output_0,0.0008255504187475399,0.9994685330031836
115,/base/transformer/layer.5/attention/Softmax_output_0,0.0008255506101007115,0.9994685326620716
116,/base/transformer/layer.4/attention/q_lin/Add_output_0,0.0008255506733905112,0.9994685326360365
117,/base/transformer/layer.4/output_layer_norm/LayerNormalization_output_0,0.0008255596168610993,0.9994685269898781
118,/base/transformer/layer.3/ffn/lin2/Add_output_0,0.0008255604571800769,0.9994685256707405
119,onnx::MatMul_701,0.0008255629881898371,0.9994685275297616
120,/base/transformer/layer.3/ffn/activation/Mul_output_0,0.0008255672625936207,0.9994685218564716
121,/base/transformer/layer.2/attention/k_lin/Add_output_0,0.0008255678741629869,0.9994685221132247
122,/base/transformer/layer.2/ffn/activation/Erf_output_0,0.0008255690108401745,0.9994685208403287
123,/base/transformer/layer.0/ffn/activation/Div_output_0,0.0008255693467987921,0.9994685213046723
124,/base/transformer/layer.5/sa_layer_norm/LayerNormalization_output_0,0.0008255759909022671,0.9994685165816242
125,/base/transformer/layer.4/ffn/activation/Mul_output_0,0.0008255778197044834,0.9994685153937459
126,/base/transformer/layer.4/attention/v_lin/Add_output_0,0.0008255782950844391,0.9994685146450475
127,/base/transformer/layer.4/attention/MatMul_1_output_0,0.0008255787157511037,0.9994685146423308
128,/base/transformer/layer.5/Add_output_0,0.0008255810516712174,0.9994685133000172
129,last_hidden_state,0.0008255811612189135,0.9994685132140462
130,/base/transformer/layer.5/attention/out_lin/Add_output_0,0.0008255827648935263,0.9994685121782073
131,/base/transformer/layer.4/attention/out_lin/Add_output_0,0.0008255843129523651,0.9994685108070231
132,/base/transformer/layer.5/Add_1_output_0,0.0008255852202312286,0.9994685106451178
133,/base/transformer/layer.5/attention/k_lin/Add_output_0,0.0008255872032667866,0.9994685093265353
134,/base/transformer/layer.5/attention/MatMul_1_output_0,0.0008255873415748167,0.9994685092487734
135,/base/transformer/layer.2/ffn/lin2/Add_output_0,0.0008255875162385569,0.9994685088651738
136,/base/transformer/layer.4/ffn/activation/Mul_1_output_0,0.000825590021528666,0.9994685075023054
137,/base/transformer/layer.5/ffn/lin2/Add_output_0,0.0008255905681339298,0.999468507177943
138,/base/transformer/layer.4/attention/MatMul_output_0,0.0008255907695237971,0.9994685068764504
139,/base/transformer/layer.5/attention/MatMul_output_0,0.0008255908609264578,0.9994685069674857
140,/base/transformer/layer.4/ffn/activation/Add_output_0,0.0008255919627447776,0.9994685062732849
141,base.embeddings.LayerNorm.bias,0.0008255921546375989,0.99946850613958
142,base.transformer.layer.0.sa_layer_norm.bias,0.0008255921546375989,0.99946850613958
143,base.transformer.layer.0.output_layer_norm.bias,0.0008255921546375989,0.99946850613958
144,base.transformer.layer.1.sa_layer_norm.bias,0.0008255921546375989,0.99946850613958
